ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
1,Student_1,4.4,96,59.5,F,Pass,55.78
2,Student_2,9.6,61,60.0,D,Pass,50.120000000000005
3,Student_3,7.6,65,80.2,B,Pass,62.64
4,Student_4,6.4,73,99.6,A,Pass,75.63999999999999
5,Student_5,2.4,68,79.7,C,Pass,61.9
6,Student_6,2.4,57,73.5,C,Pass,55.98
7,Student_7,1.5,80,83.8,B,Pass,66.58
8,Student_8,8.8,70,67.9,D,Pass,56.5
9,Student_9,6.4,66,43.6,F,Pass,40.64
10,Student_10,7.4,72,73.7,C,Pass,60.099999999999994
11,Student_11,1.2,86,97.5,A,Pass,75.94
12,Student_12,9.7,65,50.5,F,Pass,45.239999999999995
13,Student_13,8.5,55,69.99137749737118,D,Pass,54.69482649842271
14,Student_14,2.9,57,52.1,F,Pass,43.239999999999995
15,Student_15,2.6,74,72.1,C,Pass,58.580000000000005
16,Student_16,2.7,67,45.8,F,Pass,41.419999999999995
17,Student_17,3.7,74,67.0,D,Pass,55.74
18,Student_18,5.7,61,85.4,B,Pass,64.58
19,Student_19,4.9,64,60.9,D,Pass,50.32
20,Student_20,3.6,75,79.9,C,Pass,63.660000000000004
21,Student_21,6.5,90,87.7,B,Pass,71.92
22,Student_22,2.3,94,95.6,A,Pass,76.61999999999999
23,Student_23,3.6,75,69.99137749737118,D,Pass,57.7148264984227
24,Student_24,4.3,96,64.0,D,Pass,58.46
25,Student_25,5.1,81,49.1,F,Pass,46.68
26,Student_26,8.1,59,99.5,A,Pass,73.12
27,Student_27,2.8,65,95.6,A,Pass,70.91999999999999
28,Student_28,5.6,56,72.4,C,Pass,55.760000000000005
29,Student_29,6.3,66,90.5,A,Pass,68.76
30,Student_30,1.4,72,71.3,C,Pass,57.459999999999994
31,Student_31,6.5,75,77.4,C,Pass,62.74
32,Student_32,2.5,70,45.3,F,Pass,41.67999999999999
33,Student_33,1.6,71,85.3,B,Pass,65.69999999999999
34,Student_34,9.5,56,47.7,F,Pass,41.72
35,Student_35,9.7,63,89.6,B,Pass,68.3
36,Student_36,8.3,64,86.9,B,Pass,66.6
37,Student_37,3.7,56,82.5,B,Pass,61.440000000000005
38,Student_38,1.9,58,42.2,F,Pass,37.300000000000004
39,Student_39,7.2,100,58.2,F,Pass,56.36
40,Student_40,5.0,97,55.8,F,Pass,53.879999999999995
41,Student_41,2.1,57,61.6,D,Pass,48.78
42,Student_42,5.5,99,45.3,F,Pass,48.08
43,Student_43,1.3,72,96.2,A,Pass,72.38000000000001
44,Student_44,9.2,78,73.2,C,Pass,61.36
45,Student_45,3.3,67,58.3,F,Pass,49.03999999999999
46,Student_46,7.0,80,63.8,D,Pass,55.67999999999999
47,Student_47,3.8,79,66.8,D,Pass,56.63999999999999
48,Student_48,5.7,88,76.0,C,Pass,64.34
49,Student_49,5.9,84,70.9,C,Pass,60.52
50,Student_50,2.7,67,95.2,A,Pass,71.06
51,Student_51,9.7,91,69.8,D,Pass,62.019999999999996
52,Student_52,8.0,88,99.5,A,Pass,78.89999999999999
53,Student_53,9.5,66,91.1,A,Pass,69.76
54,Student_54,9.1,63,52.5,F,Pass,45.92
55,Student_55,6.4,80,95.8,A,Pass,74.75999999999999
56,Student_56,9.3,73,47.0,F,Pass,44.66
57,Student_57,1.8,84,89.0,B,Pass,70.56
58,Student_58,2.8,93,62.8,D,Pass,56.84
59,Student_59,1.4,94,92.7,A,Pass,74.7
60,Student_60,3.9,83,92.1,A,Pass,72.64
61,Student_61,4.5,52,88.4,B,Pass,64.34
62,Student_62,3.4,86,87.4,B,Pass,70.32000000000001
63,Student_63,8.5,92,58.3,F,Pass,55.08
64,Student_64,4.2,89,44.9,F,Pass,45.58
65,Student_65,3.5,75,64.2,D,Pass,54.220000000000006
66,Student_66,5.9,72,50.4,F,Pass,45.82
67,Student_67,2.3,93,81.7,B,Pass,68.08
68,Student_68,8.2,88,60.8,D,Pass,55.72
69,Student_69,1.7,64,98.5,A,Pass,72.24
70,Student_70,9.9,98,78.5,C,Pass,68.68
71,Student_71,8.0,53,89.3,B,Pass,65.78
72,Student_72,2.8,78,48.0,F,Pass,44.96
73,Student_73,1.0,71,91.7,A,Pass,69.42
74,Student_74,8.3,74,95.4,A,Pass,73.7
75,Student_75,7.4,62,69.2,D,Pass,55.4
76,Student_76,7.6,67,76.4,C,Pass,60.760000000000005
77,Student_77,7.9,82,85.9,B,Pass,69.52
78,Student_78,1.7,65,50.5,F,Pass,43.64
79,Student_79,4.2,94,70.2,C,Pass,61.760000000000005
80,Student_80,2.0,91,63.9,D,Pass,56.93999999999999
81,Student_81,8.8,93,48.8,F,Pass,49.63999999999999
82,Student_82,6.6,51,62.1,D,Pass,48.78
83,Student_83,4.0,84,69.99137749737118,D,Pass,59.594826498422705
84,Student_84,1.6,91,41.5,F,Pass,43.419999999999995
85,Student_85,3.8,83,48.1,F,Pass,46.22
86,Student_86,3.9,79,97.8,A,Pass,75.25999999999999
87,Student_87,7.6,62,73.0,C,Pass,57.72
88,Student_88,6.7,62,97.9,A,Pass,72.48
89,Student_89,9.0,67,65.9,D,Pass,54.739999999999995
90,Student_90,5.2,81,58.7,F,Pass,52.46
91,Student_91,2.1,81,70.4,C,Pass,58.86
92,Student_92,7.4,84,66.4,D,Pass,58.12
93,Student_93,7.8,88,46.3,F,Pass,46.94
94,Student_94,6.1,95,78.4,C,Pass,67.25999999999999
95,Student_95,7.9,78,53.0,F,Pass,48.98
96,Student_96,5.4,98,77.2,C,Pass,67.0
97,Student_97,5.7,78,79.0,C,Pass,64.14
98,Student_98,4.8,93,49.1,F,Pass,49.02
99,Student_99,1.2,65,43.7,F,Pass,39.46
100,Student_100,2.0,93,86.8,B,Pass,71.08000000000001
101,Student_101,1.3,96,69.99137749737118,D,Pass,61.454826498422705
102,Student_102,6.7,59,43.5,F,Pass,39.24
103,Student_103,3.8,79,99.7,A,Pass,76.38000000000001
104,Student_104,5.6,74,43.5,F,Pass,42.019999999999996
105,Student_105,9.2,88,81.7,B,Pass,68.46000000000001
106,Student_106,3.2,69,99.0,A,Pass,73.84
107,Student_107,4.7,54,54.4,F,Pass,44.379999999999995
108,Student_108,7.8,50,48.5,F,Pass,40.66
109,Student_109,3.1,79,47.3,F,Pass,44.8
110,Student_110,1.7,98,58.2,F,Pass,54.86000000000001
111,Student_111,3.6,52,46.1,F,Pass,38.78
112,Student_112,2.5,94,81.5,B,Pass,68.2
113,Student_113,9.4,63,43.7,F,Pass,40.70000000000001
114,Student_114,8.3,79,70.6,C,Pass,59.81999999999999
115,Student_115,6.7,99,99.8,A,Pass,81.02
116,Student_116,8.8,53,88.8,B,Pass,65.64
117,Student_117,8.2,67,76.9,C,Pass,61.18
118,Student_118,2.7,86,58.4,F,Pass,52.779999999999994
119,Student_119,9.0,74,77.4,C,Pass,63.040000000000006
120,Student_120,5.9,97,71.6,C,Pass,63.54
121,Student_121,8.3,50,65.6,D,Pass,51.019999999999996
122,Student_122,9.1,95,47.8,F,Pass,49.49999999999999
123,Student_123,3.9,64,93.2,A,Pass,69.5
124,Student_124,2.0,58,67.0,D,Pass,52.199999999999996
125,Student_125,3.1,64,51.7,F,Pass,44.44
126,Student_126,4.8,98,62.1,D,Pass,57.82
127,Student_127,8.4,73,64.8,D,Pass,55.16
128,Student_128,8.7,53,89.7,B,Pass,66.16
129,Student_129,1.1,61,84.0,B,Pass,62.82
130,Student_130,5.6,86,86.2,B,Pass,70.04
131,Student_131,4.8,86,40.7,F,Pass,42.580000000000005
132,Student_132,3.0,92,65.0,D,Pass,58.00000000000001
133,Student_133,2.1,55,68.9,D,Pass,52.760000000000005
134,Student_134,4.0,88,41.2,F,Pass,43.120000000000005
135,Student_135,9.5,95,55.6,F,Pass,54.26
136,Student_136,3.9,73,85.6,B,Pass,66.74
137,Student_137,5.7,60,69.99137749737118,D,Pass,55.134826498422704
138,Student_138,7.3,62,72.1,C,Pass,57.12
139,Student_139,4.3,83,52.9,F,Pass,49.2
140,Student_140,9.7,74,40.7,F,Pass,41.16
141,Student_141,9.7,56,69.99137749737118,D,Pass,55.134826498422704
142,Student_142,3.3,53,98.6,A,Pass,70.41999999999999
143,Student_143,5.5,57,88.1,B,Pass,65.35999999999999
144,Student_144,3.7,69,97.6,A,Pass,73.1
145,Student_145,3.6,78,69.3,D,Pass,57.9
146,Student_146,1.3,100,46.6,F,Pass,48.22
147,Student_147,6.5,94,72.9,C,Pass,63.84
148,Student_148,5.5,95,67.3,D,Pass,60.48
