ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
2,Student_2,9.6,61,60.0,D,Pass,50.120000000000005
8,Student_8,8.8,70,67.9,D,Pass,56.5
12,Student_12,9.7,65,50.5,F,Pass,45.24
13,Student_13,8.5,55,69.99137749737118,D,Pass,54.69482649842271
26,Student_26,8.1,59,99.5,A,Pass,73.12
34,Student_34,9.5,56,47.7,F,Pass,41.72
35,Student_35,9.7,63,89.6,B,Pass,68.3
36,Student_36,8.3,64,86.9,B,Pass,66.6
44,Student_44,9.2,78,73.2,C,Pass,61.36
51,Student_51,9.7,91,69.8,D,Pass,62.02
53,Student_53,9.5,66,91.1,A,Pass,69.76
54,Student_54,9.1,63,52.5,F,Pass,45.92
56,Student_56,9.3,73,47.0,F,Pass,44.66
63,Student_63,8.5,92,58.3,F,Pass,55.08
68,Student_68,8.2,88,60.8,D,Pass,55.72
70,Student_70,9.9,98,78.5,C,Pass,68.68
74,Student_74,8.3,74,95.4,A,Pass,73.7
81,Student_81,8.8,93,48.8,F,Pass,49.63999999999999
89,Student_89,9.0,67,65.9,D,Pass,54.74
105,Student_105,9.2,88,81.7,B,Pass,68.46000000000001
113,Student_113,9.4,63,43.7,F,Pass,40.70000000000001
114,Student_114,8.3,79,70.6,C,Pass,59.81999999999999
116,Student_116,8.8,53,88.8,B,Pass,65.64
117,Student_117,8.2,67,76.9,C,Pass,61.18
119,Student_119,9.0,74,77.4,C,Pass,63.040000000000006
121,Student_121,8.3,50,65.6,D,Pass,51.02
122,Student_122,9.1,95,47.8,F,Pass,49.49999999999999
127,Student_127,8.4,73,64.8,D,Pass,55.16
128,Student_128,8.7,53,89.7,B,Pass,66.16
135,Student_135,9.5,95,55.6,F,Pass,54.26
140,Student_140,9.7,74,40.7,F,Pass,41.16
141,Student_141,9.7,56,69.99137749737118,D,Pass,55.134826498422704
151,Student_151,9.2,83,69.3,D,Pass,60.02
155,Student_155,9.9,52,68.6,D,Pass,53.53999999999999
166,Student_166,8.5,91,55.3,F,Pass,53.08
179,Student_179,9.4,58,84.2,B,Pass,64.0
183,Student_183,9.3,83,45.1,F,Pass,45.52
184,Student_184,8.9,60,83.0,B,Pass,63.58
187,Student_187,8.4,77,40.7,F,Pass,41.5
192,Student_192,9.1,83,61.0,D,Pass,55.02
193,Student_193,9.1,61,86.5,B,Pass,65.91999999999999
198,Student_198,9.1,74,69.99137749737118,D,Pass,58.61482649842271
199,Student_199,9.0,54,85.9,B,Pass,64.14
204,Student_204,9.1,87,57.7,F,Pass,53.84
220,Student_220,8.6,94,74.9,C,Pass,65.46000000000001
227,Student_227,9.8,89,53.5,F,Pass,51.86000000000001
229,Student_229,9.0,62,65.9,D,Pass,53.74
231,Student_231,8.2,82,76.8,C,Pass,64.12
241,Student_241,9.5,62,90.8,A,Pass,68.78
